Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1400,,,2013,101,1019,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,1,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1020,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1020,2,07,01,3,1,0,,,,0,,0,,0,,0,,1,,1,,0,,0,,,,,0,0,0,0,1
1400,,,2013,101,1021,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1021,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1022,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1022,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1023,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1023,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1024,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1024,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1025,1,07,01,7,0,0,,,,0,,0,,1,,4,,2,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1025,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1026,1,07,01,68,0,0,,,,0,,0,,0,,2,,5,,10,,23,,28,,,,,0,0,0,0,0
1400,,,2013,101,1026,2,07,01,51,0,0,,,,1,,0,,3,,4,,8,,8,,9,,18,,,,,0,0,0,0,0
1400,,,2013,101,1027,1,07,01,6,0,0,,,,0,,0,,0,,0,,1,,1,,4,,0,,,,,0,0,0,0,0
1400,,,2013,101,1027,2,07,01,2,0,0,,,,0,,0,,0,,0,,1,,1,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1028,1,07,01,3,0,0,,,,0,,0,,0,,0,,0,,0,,2,,1,,,,,0,0,0,0,0
1400,,,2013,101,1028,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1029,1,07,01,5,0,0,,,,0,,0,,0,,0,,0,,1,,2,,2,,,,,0,0,0,0,0
1400,,,2013,101,1029,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,1,,0,,,,,0,0,0,0,0
1400,,,2013,101,1030,1,07,01,14,0,0,,,,0,,0,,0,,1,,1,,2,,3,,7,,,,,0,0,0,0,0
1400,,,2013,101,1030,2,07,01,4,0,0,,,,0,,0,,0,,1,,1,,0,,1,,1,,,,,0,0,0,0,0
1400,,,2013,101,1031,1,07,01,2,0,0,,,,0,,0,,0,,0,,1,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1031,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1032,1,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1032,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1033,1,07,01,2,0,0,,,,0,,0,,0,,0,,1,,1,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1033,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1034,1,07,01,7,0,0,,,,0,,0,,0,,0,,1,,0,,4,,2,,,,,0,0,0,0,0
1400,,,2013,101,1034,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1035,1,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1035,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1036,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1036,2,07,01,11,0,0,,,,0,,0,,0,,2,,4,,0,,2,,3,,,,,0,0,0,0,0
1400,,,2013,101,1037,2,07,01,5,0,0,,,,0,,0,,0,,0,,0,,0,,1,,4,,,,,0,0,0,0,0
1400,,,2013,101,1038,2,07,01,3,0,0,,,,0,,0,,0,,0,,0,,2,,1,,0,,,,,0,0,0,0,0
1400,,,2013,101,1039,2,07,01,4,0,0,,,,0,,0,,0,,0,,1,,1,,0,,2,,,,,0,0,0,0,0
1400,,,2013,101,1040,1,07,01,15,0,0,,,,0,,0,,0,,0,,0,,2,,2,,11,,,,,0,0,0,0,0
1400,,,2013,101,1041,1,07,01,2,0,0,,,,0,,0,,0,,0,,0,,1,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1041,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1042,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1042,2,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1043,1,07,01,2,0,0,,,,0,,0,,0,,0,,0,,0,,2,,0,,,,,0,0,0,0,0
1400,,,2013,101,1043,2,07,01,4,0,0,,,,0,,0,,2,,0,,0,,2,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1044,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1044,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1045,1,07,01,0,0,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0
1400,,,2013,101,1045,2,07,01,1,0,0,,,,0,,0,,0,,0,,0,,0,,0,,1,,,,,0,0,0,0,0
1400,,,2013,101,1046,1,07,01,8,0,0,,,,0,,0,,0,,1,,0,,2,,4,,1,,,,,0,0,0,0,0
1400,,,2013,101,1046,2,07,01,12,0,0,,,,0,,0,,1,,1,,1,,2,,3,,4,,,,,0,0,0,0,0
