year,cause_group,age_group,deaths,source
2022,"6- Ciertas enfermedades víricas e infecciones virales, hepatitis viral, VIH por virus",col_10,0,INEC_CR_2022_C4
2022,"6- Ciertas enfermedades víricas e infecciones virales, hepatitis viral, VIH por virus",col_11,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_1,16,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",Menos de,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",1 - 14,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",15 - 64,9,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",65 años,7,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",Ignorada,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_7,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_8,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_9,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_10,0,INEC_CR_2022_C4
2022,"7- Micosis, enfermedades debido a protozoarios, helmintasis, pediculosis, acariosis y otras infestaciones",col_11,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_1,1,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,Menos de,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,1 - 14,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,15 - 64,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,65 años,1,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,Ignorada,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_7,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_8,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_9,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_10,0,INEC_CR_2022_C4
2022,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,col_11,0,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",col_1,108,INEC_CR_2022_C4
2022,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",Menos de,0,INEC_CR_2022_C4
