year,cause_group,total,hombres,mujeres,source
2023,8- Otras enfermedades  y efectos tardíos de las enfermedades infecciosas y parasitarias,9,4,5,INEC_CR_2023_C5
2023,"9- Tumor maligno del labio, de la cavidad bucal y de la faringe",137,95,42,INEC_CR_2023_C5
2023,10- Tumor maligno de otros órganos digestivos,2243,1252,991,INEC_CR_2023_C5
2023,11- Tumor maligno de órganos respiratorios e intratoráxicos,452,300,152,INEC_CR_2023_C5
2023,"12- Tumor maligno de los huesos, del tejido conjuntivo, de los tejidos blandos, de piel y de la mama",683,158,525,INEC_CR_2023_C5
2023,13- Tumor maligno de los órganos genitourinarios,1188,681,507,INEC_CR_2023_C5
2023,"14- Tumor maligno del ojo, encéfalo, partes del sistema nervioso y glándulas endocrinas",258,125,133,INEC_CR_2023_C5
2023,"15- Tumor maligno de otros sitios, secundarios y de los no especificado",248,120,128,INEC_CR_2023_C5
2023,"16- Tumor maligno del tejido linfático, de los órganos hematopoyéticos y de sitios múltiples independientes",620,352,268,INEC_CR_2023_C5
2023,18- Tumores benignos,46,17,29,INEC_CR_2023_C5
2023,19- Tumores de comportamiento incierto o desconocidos,362,185,177,INEC_CR_2023_C5
2023,20- Enfermedades de las glándulas endocrinas y metabólicas,2415,1163,1252,INEC_CR_2023_C5
2023,21- Deficiencia de la nutrición,203,115,88,INEC_CR_2023_C5
2023,"22- Enfermedades de la sangre, de los órganos hematopoyéticos y ciertos trastornos que afectan el mecanismo de la inmunidad",140,76,64,INEC_CR_2023_C5
2023,23- Trastornos mentales y del comportamiento,1106,527,579,INEC_CR_2023_C5
2023,24- Enfermedades e infecciones virales del sistema nervioso,1148,590,558,INEC_CR_2023_C5
2023,27- Fiebre reumática y otras enfermedades reumáticas del corazón,25,10,15,INEC_CR_2023_C5
2023,28- Enfermedad hipertensiva,1883,896,987,INEC_CR_2023_C5
2023,29- Enfermedad isquémica del corazón,3050,1838,1212,INEC_CR_2023_C5
2023,30- Enfermedades de la circulación pulmonar y otras formas de enfermedades del corazón,990,500,490,INEC_CR_2023_C5
2023,"31- Enfermedades cerebrovasculares, de las venas y las arterias",1842,958,884,INEC_CR_2023_C5
2023,"33- Enfermedades de las vías respiratorias- superiores e inferiores-, del pulmón, influenza y neumonía",1901,1043,858,INEC_CR_2023_C5
2023,34- Otras enfermedades del aparato respiratorio y de la pleura,118,64,54,INEC_CR_2023_C5
2023,"36- Enfermedades del esófago, apéndice y hernias",167,96,71,INEC_CR_2023_C5
2023,"37- Enteritis y colitis no infecciosas, enfermedades del peritoneo, del hígado, de la vesícula e intestinos",1467,827,640,INEC_CR_2023_C5
2023,38- Otras enfermedades del sistema digestivo,68,31,37,INEC_CR_2023_C5
2023,39- Enfermedades del aparato urinario y de  la mama,946,513,433,INEC_CR_2023_C5
2023,46- Enfermedades de la piel  y del tejido celular cutáneo,124,54,70,INEC_CR_2023_C5
2023,47- Enfermedades del sistema osteomuscular y del tejido conjuntivo,249,64,185,INEC_CR_2023_C5
2023,"48- Malformaciones congénitas, deformidades y anomalías cromosómicas",260,136,124,INEC_CR_2023_C5
2023,49- Ciertas afecciones originadas en el período perinatal,215,129,86,INEC_CR_2023_C5
2023,"50- Signos, síntomas y estados morbosos mal definidos",501,390,111,INEC_CR_2023_C5
2023,51-  Accidentes de transporte,931,795,136,INEC_CR_2023_C5
2023,52- Envenenamiento accidental,89,76,13,INEC_CR_2023_C5
2023,53- Contratiempos durante la atención médica reacciones anormales y complicaciones posteriores,41,13,28,INEC_CR_2023_C5
2023,54- Caídas accidentales,152,126,26,INEC_CR_2023_C5
2023,"55- Exposición a fuerzas mecánicas animadas e inanimadas, ahogamiento, sumersión accidental y otros",164,143,21,INEC_CR_2023_C5
2023,"56- Contacto traumáticos con animales, fuerzas de la naturaleza, exceso de esfuerzo, exposición a otros factores",528,250,278,INEC_CR_2023_C5
2023,"57- Accidentes causados por el fuego, corriente eléctrica, radiación, calor y sustancias calientes",37,34,3,INEC_CR_2023_C5
2023,58- Secuelas de causas externas de morbilidad y de mortalidad,11,10,1,INEC_CR_2023_C5
2023,59 - Drogas y medicamentos que causan efectos adversos en su uso terapéutico,3,2,1,INEC_CR_2023_C5
2023,60- Suicidios y lesiones autoinflingidas,398,330,68,INEC_CR_2023_C5
2023,61- Homicidios y lesiones infligidas intencionalmente por otra persona,849,780,69,INEC_CR_2023_C5
2023,62- Eventos de intensión no determinada,10,8,2,INEC_CR_2023_C5
