year,province,sex,age_group,deaths,source
2022,Alajuela,hombres,Total,3129,INEC_CR_2022_C10
2022,Alajuela,hombres,Menos de 1 año,67,INEC_CR_2022_C10
2022,Alajuela,hombres,1 - 9,15,INEC_CR_2022_C10
2022,Alajuela,hombres,10 - 19,39,INEC_CR_2022_C10
2022,Alajuela,hombres,20 - 29,147,INEC_CR_2022_C10
2022,Alajuela,hombres,30 - 39,189,INEC_CR_2022_C10
2022,Alajuela,hombres,40 - 49,207,INEC_CR_2022_C10
2022,Alajuela,hombres,50 - 59,320,INEC_CR_2022_C10
2022,Alajuela,hombres,60 - 69,498,INEC_CR_2022_C10
2022,Alajuela,hombres,70 - 79,637,INEC_CR_2022_C10
2022,Alajuela,hombres,80 años y más,1007,INEC_CR_2022_C10
2022,Alajuela,hombres,Ignorada,3,INEC_CR_2022_C10
2022,Alajuela,mujeres,Total,2436,INEC_CR_2022_C10
2022,Alajuela,mujeres,Menos de 1 año,47,INEC_CR_2022_C10
2022,Alajuela,mujeres,1 - 9,10,INEC_CR_2022_C10
2022,Alajuela,mujeres,10 - 19,27,INEC_CR_2022_C10
2022,Alajuela,mujeres,20 - 29,29,INEC_CR_2022_C10
2022,Alajuela,mujeres,30 - 39,70,INEC_CR_2022_C10
2022,Alajuela,mujeres,40 - 49,98,INEC_CR_2022_C10
2022,Alajuela,mujeres,50 - 59,175,INEC_CR_2022_C10
2022,Alajuela,mujeres,60 - 69,328,INEC_CR_2022_C10
2022,Alajuela,mujeres,70 - 79,517,INEC_CR_2022_C10
2022,Alajuela,mujeres,80 años y más,1129,INEC_CR_2022_C10
2022,Alajuela,mujeres,Ignorada,6,INEC_CR_2022_C10
2022,Cartago,total,Total,3107,INEC_CR_2022_C10
2022,Cartago,total,Menos de 1 año,59,INEC_CR_2022_C10
2022,Cartago,total,1 - 9,10,INEC_CR_2022_C10
2022,Cartago,total,10 - 19,26,INEC_CR_2022_C10
2022,Cartago,total,20 - 29,75,INEC_CR_2022_C10
2022,Cartago,total,30 - 39,112,INEC_CR_2022_C10
2022,Cartago,total,40 - 49,159,INEC_CR_2022_C10
2022,Cartago,total,50 - 59,272,INEC_CR_2022_C10
2022,Cartago,total,60 - 69,529,INEC_CR_2022_C10
2022,Cartago,total,70 - 79,628,INEC_CR_2022_C10
2022,Cartago,total,80 años y más,1235,INEC_CR_2022_C10
2022,Cartago,total,Ignorada,2,INEC_CR_2022_C10
2022,Cartago,hombres,Total,1715,INEC_CR_2022_C10
2022,Cartago,hombres,Menos de 1 año,33,INEC_CR_2022_C10
2022,Cartago,hombres,1 - 9,4,INEC_CR_2022_C10
2022,Cartago,hombres,10 - 19,14,INEC_CR_2022_C10
2022,Cartago,hombres,20 - 29,63,INEC_CR_2022_C10
2022,Cartago,hombres,30 - 39,81,INEC_CR_2022_C10
2022,Cartago,hombres,40 - 49,91,INEC_CR_2022_C10
2022,Cartago,hombres,50 - 59,175,INEC_CR_2022_C10
2022,Cartago,hombres,60 - 69,322,INEC_CR_2022_C10
2022,Cartago,hombres,70 - 79,346,INEC_CR_2022_C10
2022,Cartago,hombres,80 años y más,584,INEC_CR_2022_C10
2022,Cartago,hombres,Ignorada,2,INEC_CR_2022_C10
2022,Cartago,mujeres,Total,1392,INEC_CR_2022_C10
2022,Cartago,mujeres,Menos de 1 año,26,INEC_CR_2022_C10
2022,Cartago,mujeres,1 - 9,6,INEC_CR_2022_C10
2022,Cartago,mujeres,10 - 19,12,INEC_CR_2022_C10
2022,Cartago,mujeres,20 - 29,12,INEC_CR_2022_C10
2022,Cartago,mujeres,30 - 39,31,INEC_CR_2022_C10
2022,Cartago,mujeres,40 - 49,68,INEC_CR_2022_C10
2022,Cartago,mujeres,50 - 59,97,INEC_CR_2022_C10
2022,Cartago,mujeres,60 - 69,207,INEC_CR_2022_C10
2022,Cartago,mujeres,70 - 79,282,INEC_CR_2022_C10
2022,Cartago,mujeres,80 años y más,651,INEC_CR_2022_C10
2022,Cartago,mujeres,Ignorada,0,INEC_CR_2022_C10
2022,Heredia,total,Total,2794,INEC_CR_2022_C10
2022,Heredia,total,Menos de 1 año,38,INEC_CR_2022_C10
2022,Heredia,total,1 - 9,6,INEC_CR_2022_C10
2022,Heredia,total,10 - 19,20,INEC_CR_2022_C10
2022,Heredia,total,20 - 29,50,INEC_CR_2022_C10
2022,Heredia,total,30 - 39,105,INEC_CR_2022_C10
2022,Heredia,total,40 - 49,133,INEC_CR_2022_C10
2022,Heredia,total,50 - 59,254,INEC_CR_2022_C10
2022,Heredia,total,60 - 69,468,INEC_CR_2022_C10
2022,Heredia,total,70 - 79,593,INEC_CR_2022_C10
2022,Heredia,total,80 años y más,1123,INEC_CR_2022_C10
2022,Heredia,total,Ignorada,4,INEC_CR_2022_C10
2022,Heredia,hombres,Total,1516,INEC_CR_2022_C10
2022,Heredia,hombres,Menos de 1 año,19,INEC_CR_2022_C10
2022,Heredia,hombres,1 - 9,5,INEC_CR_2022_C10
2022,Heredia,hombres,10 - 19,10,INEC_CR_2022_C10
2022,Heredia,hombres,20 - 29,41,INEC_CR_2022_C10
2022,Heredia,hombres,30 - 39,71,INEC_CR_2022_C10
2022,Heredia,hombres,40 - 49,68,INEC_CR_2022_C10
2022,Heredia,hombres,50 - 59,163,INEC_CR_2022_C10
2022,Heredia,hombres,60 - 69,287,INEC_CR_2022_C10
2022,Heredia,hombres,70 - 79,325,INEC_CR_2022_C10
2022,Heredia,hombres,80 años y más,525,INEC_CR_2022_C10
2022,Heredia,hombres,Ignorada,2,INEC_CR_2022_C10
2022,Heredia,mujeres,Total,1278,INEC_CR_2022_C10
2022,Heredia,mujeres,Menos de 1 año,19,INEC_CR_2022_C10
2022,Heredia,mujeres,1 - 9,1,INEC_CR_2022_C10
