Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;12;23;2;2;2;4;7;2;2;3;2;1;1;4;4;2;5;5;10;0
003;Mujeres;16;21;2;2;2;1;2;0;1;1;1;2;1;4;2;3;7;7;23;3
004;Hombres;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0
004;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
005;Hombres;1;2;0;1;0;5;6;4;6;8;9;6;12;8;12;7;9;6;7;0
005;Mujeres;0;2;1;0;2;1;3;2;2;7;4;3;9;4;4;8;3;6;5;0
006;Hombres;0;0;0;1;0;1;0;2;0;0;1;1;2;0;0;0;0;0;0;0
006;Mujeres;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
008;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
010;Mujeres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;1;4;0;0;0;0;0;1;1;1;0;2;2;4;3;6;3;1;15;0
012;Mujeres;0;0;0;0;0;0;0;1;1;1;1;0;3;1;1;3;2;8;11;0
013;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
017;Mujeres;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
019;Hombres;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;1;0;1;0;0
020;Hombres;0;2;0;0;9;51;68;64;57;40;44;29;23;17;11;11;3;2;2;3
020;Mujeres;1;1;0;0;7;12;16;12;14;14;10;2;12;6;4;3;1;2;0;0
022;Hombres;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
023;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
023;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
025;Hombres;7;6;3;0;1;1;1;1;3;1;2;1;0;4;1;4;0;1;2;0
025;Mujeres;5;3;1;0;1;0;0;0;1;0;2;1;4;2;2;2;3;1;1;0
027;Hombres;0;0;0;0;0;0;0;0;1;1;0;4;5;7;12;7;11;9;6;0
027;Mujeres;0;0;0;0;0;0;0;1;0;0;0;0;1;4;2;1;5;4;5;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;3;0;0;4;2;5;1;3;4;0
028;Mujeres;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;1;1;1;2;0
029;Hombres;0;0;0;0;1;1;1;5;0;2;8;7;18;18;25;26;30;20;28;1
029;Mujeres;0;0;0;0;0;2;2;3;4;4;11;11;7;16;7;16;6;8;20;0
030;Hombres;0;0;0;0;0;0;3;0;1;2;4;11;11;24;24;22;28;10;21;0
030;Mujeres;0;0;0;0;0;0;0;0;2;2;9;11;13;11;24;20;14;19;24;0
031;Hombres;0;0;0;0;0;1;1;1;1;0;5;6;6;9;21;17;9;12;11;1
031;Mujeres;0;0;0;1;0;0;1;0;0;2;1;4;8;5;11;14;18;13;13;0
032;Hombres;0;0;0;0;0;0;0;0;0;0;2;4;3;8;8;16;10;8;11;0
032;Mujeres;0;0;0;0;0;0;0;1;1;0;0;1;8;6;4;7;21;12;16;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;2;5;3;3;0
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0
034;Hombres;0;0;0;0;0;1;1;0;1;1;3;12;8;15;20;30;30;14;25;0
034;Mujeres;0;0;0;0;0;0;0;0;1;4;1;3;9;6;12;14;14;9;13;0
035;Hombres;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;5;3;2;3;0
035;Mujeres;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;1;4;1;2;0
036;Hombres;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0
036;Mujeres;0;0;0;0;1;0;2;1;13;22;21;24;20;23;24;23;24;12;28;0
041;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;2;2;8;0
041;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;1;4;1;0
042;Hombres;0;0;0;2;1;0;1;0;4;3;2;2;2;7;6;3;7;3;0;0
042;Mujeres;0;1;1;1;0;1;0;1;2;3;1;2;7;4;1;2;1;2;3;0
043;Hombres;0;0;1;1;0;0;1;1;0;1;2;4;4;3;7;11;8;8;11;1
043;Mujeres;0;1;0;2;0;1;1;2;2;1;1;3;3;5;3;5;8;5;4;0
044;Hombres;0;0;0;0;0;0;0;0;0;1;0;2;8;3;7;6;6;5;3;0
044;Mujeres;0;0;0;0;0;0;0;0;0;1;0;2;1;6;5;0;6;1;1;0
045;Hombres;0;0;3;4;8;8;7;6;4;3;3;7;9;6;8;6;7;1;7;0
045;Mujeres;1;2;1;2;4;4;2;1;4;1;4;4;6;5;5;7;5;2;7;0
046;Hombres;0;2;2;3;7;6;3;3;3;8;11;13;17;33;33;38;36;33;26;0
046;Mujeres;0;1;2;3;5;1;1;0;7;5;10;17;14;29;21;28;23;20;30;0
047;Hombres;3;3;3;0;1;2;1;3;4;4;2;6;11;12;8;18;16;17;15;0
047;Mujeres;1;0;1;0;0;0;2;4;2;5;4;5;6;3;8;10;8;14;26;0
049;Hombres;1;0;1;2;2;4;2;4;3;1;0;2;1;3;2;5;6;8;15;0
049;Mujeres;0;0;0;2;1;2;1;0;0;3;1;0;1;4;2;3;4;1;7;0
050;Hombres;1;3;0;0;0;1;1;0;0;1;0;1;1;3;0;0;0;0;2;0
050;Mujeres;1;0;0;0;0;0;0;1;0;2;0;0;1;1;2;0;2;1;4;0
052;Hombres;0;0;0;0;0;1;2;3;4;12;19;31;69;100;79;82;100;63;102;1
052;Mujeres;0;0;0;0;1;0;2;4;4;8;19;19;43;66;80;91;96;102;162;0
053;Hombres;5;17;0;0;0;1;0;0;0;0;0;0;1;2;2;3;4;0;15;1
053;Mujeres;12;14;4;0;1;1;1;0;1;1;0;0;0;1;1;2;4;4;13;0
054;Hombres;2;1;1;0;0;3;0;1;1;5;7;5;7;6;8;8;4;9;12;0
054;Mujeres;0;1;0;1;2;1;1;2;2;2;3;4;2;5;6;3;9;4;30;0
056;Hombres;0;0;0;0;0;0;0;1;2;3;4;2;9;7;4;6;0;4;1;0
056;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
057;Hombres;0;0;0;0;0;1;0;0;0;1;0;0;2;1;0;1;3;4;13;1
057;Mujeres;0;0;1;0;0;0;0;0;0;0;0;0;1;4;1;1;2;9;31;1
059;Hombres;1;0;0;0;0;0;0;0;1;0;1;2;1;0;0;4;0;1;1;0
059;Mujeres;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0
