Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;11;2;1;1;3;0;0;1;0;1;1;2;3;1;1;1;4;3;5;4;4;16;0
003;Mujeres;6;12;1;1;0;1;3;0;0;3;3;1;0;0;1;1;3;2;3;6;3;10;0
004;Hombres;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
004;Mujeres;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0
005 y 006;Hombres;0;0;1;1;0;0;0;3;8;4;11;5;1;9;5;7;4;9;8;9;13;3;2
005 y 006;Mujeres;1;0;0;0;0;0;0;5;6;0;4;7;3;7;5;4;6;3;3;5;5;3;0
012;Hombres;0;0;0;0;0;0;1;0;0;1;0;0;2;2;4;5;7;4;10;8;10;13;0
012;Mujeres;1;0;0;0;0;1;1;0;0;0;1;0;1;4;2;3;5;6;6;7;5;21;0
013;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
013;Mujeres;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
017;Mujeres;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
019;Hombres;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
020;Hombres;1;0;0;0;0;0;1;8;26;31;42;32;34;23;16;25;18;10;7;1;1;1;0
020;Mujeres;0;0;0;0;0;0;0;1;9;10;16;11;16;6;17;2;5;3;3;2;0;0;0
021;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
022;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
025;Hombres;0;1;3;0;2;3;0;1;1;2;2;2;3;1;4;3;4;0;4;2;3;2;0
025;Mujeres;2;0;3;0;0;1;2;1;0;1;0;2;0;4;3;2;2;1;1;1;2;3;0
027;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;11;6;7;5;7;2;7;0
027;Mujeres;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;3;1;5;3;1;5;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;1;6;4;4;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0
029;Hombres;0;0;0;0;0;0;0;1;2;1;1;1;8;12;18;15;20;25;23;30;21;14;0
029;Mujeres;0;0;0;0;0;0;0;0;0;2;3;3;6;4;9;11;12;16;13;8;18;19;0
030;Hombres;0;0;0;0;0;0;0;1;1;0;0;5;2;4;11;24;24;25;30;17;17;15;0
030;Mujeres;0;0;0;0;0;0;0;0;0;1;1;4;3;12;12;15;25;17;26;26;20;28;0
031;Hombres;0;0;0;0;0;0;0;1;0;0;1;1;4;3;1;4;10;15;14;7;6;15;0
031;Mujeres;0;0;0;0;0;0;0;0;0;1;1;1;2;6;5;2;4;10;23;15;13;18;0
032;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;8;11;5;8;10;8;0
032;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;4;8;6;12;9;9;7;0
033;Hombres;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;2;6;5;4;0;3;1
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0
034;Hombres;0;0;0;0;0;0;0;0;1;1;0;1;2;1;4;13;16;19;29;21;29;18;0
034;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;4;2;6;8;10;18;19;16;9;13;0
035;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;1;2;1;6;0
035;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;1;2;3;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
036;Mujeres;0;0;0;0;0;0;0;0;0;0;8;9;21;33;34;39;29;32;30;22;16;23;0
041;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;6;5;7;3;0
041;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;0
042;Hombres;0;0;1;0;0;0;0;0;2;1;0;2;3;0;6;5;4;7;5;3;4;1;0
042;Mujeres;0;0;0;0;0;0;2;0;0;0;0;2;3;3;2;3;2;2;8;4;5;6;0
043;Hombres;0;0;0;0;0;0;2;2;1;0;3;1;3;0;4;7;5;8;3;16;4;5;0
043;Mujeres;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;4;2;8;6;3;7;0
044;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;3;5;2;5;5;3;6;0
044;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;4;5;5;2;4;0
045;Hombres;1;0;1;0;0;3;4;5;4;2;3;2;1;3;3;5;5;8;9;6;5;7;0
045;Mujeres;0;1;0;0;0;1;1;2;2;4;2;2;3;4;2;6;4;9;5;12;14;13;0
046;Hombres;0;0;0;0;0;0;4;4;4;7;6;7;8;10;11;24;23;37;49;51;30;42;0
046;Mujeres;0;0;0;0;0;3;1;3;3;3;3;4;2;11;15;26;28;32;40;25;23;41;0
047;Hombres;0;0;1;1;0;1;3;1;4;0;2;8;5;8;6;7;12;14;22;18;22;25;0
047;Mujeres;0;0;0;0;0;2;0;1;2;1;1;3;3;5;5;9;9;10;11;23;13;27;0
049;Hombres;0;0;0;0;1;1;1;0;2;1;4;1;4;3;2;3;5;3;7;5;8;26;0
049;Mujeres;0;0;0;0;0;0;1;2;4;1;2;1;0;1;5;3;4;1;1;2;7;16;0
050;Hombres;0;1;0;0;0;0;0;0;0;2;0;0;1;2;1;1;4;3;3;0;2;0;0
050;Mujeres;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;2;4;0
052;Hombres;0;0;0;0;0;0;0;1;1;2;5;6;15;23;39;69;94;122;124;114;101;132;0
052;Mujeres;0;0;0;0;0;0;0;1;0;0;4;5;10;20;33;40;71;88;105;142;140;218;1
053;Hombres;10;8;4;0;0;2;0;2;0;0;0;0;1;0;1;1;0;2;3;4;5;12;1
053;Mujeres;16;8;2;0;0;1;2;3;0;1;1;0;1;0;1;1;1;1;0;4;4;11;0
054;Hombres;2;0;0;0;0;1;1;1;0;4;1;6;5;7;6;3;10;9;16;15;16;32;0
054;Mujeres;4;0;0;0;0;0;1;1;0;0;1;1;3;1;2;2;4;15;10;10;21;46;0
056;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;5;2;4;4;1;0;0;0
056;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
057;Hombres;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;4;11;21;0
057;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;2;6;13;49;1
059;Hombres;8;0;1;0;0;0;1;1;1;2;0;0;0;0;0;2;0;1;2;0;0;0;0
059;Mujeres;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
060;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;9;17;18;48;0
060;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;18;26;94;0
061;Hombres;2;1;0;1;4;6;9;7;6;9;6;3;8;7;12;15;14;13;22;25;21;33;0
061;Mujeres;2;1;0;1;3;6;5;7;8;8;4;1;12;5;5;4;11;16;13;22;16;35;0
065;Hombres;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;3;1;1;2;0;0
065;Mujeres;0;0;0;0;0;0;0;0;1;0;2;1;1;1;2;1;4;1;4;1;1;1;0
066;Hombres;0;0;0;0;0;0;0;1;0;2;2;9;6;10;10;29;30;34;56;60;63;162;0
066;Mujeres;0;0;0;0;0;0;0;0;1;0;1;2;2;3;4;12;18;27;33;48;69;233;0
067;Hombres;0;0;0;0;0;0;0;0;2;4;9;12;21;37;41;85;98;128;168;168;167;330;0
067;Mujeres;0;0;0;0;0;0;0;0;1;1;0;5;6;16;18;29;45;71;52;99;111;406;0
068;Hombres;0;0;0;0;0;0;0;4;5;12;6;16;13;22;33;35;59;61;74;94;104;269;0
068;Mujeres;0;0;0;1;0;0;2;1;7;5;7;9;12;11;14;22;24;31;54;63;107;325;0
069;Hombres;0;0;0;0;0;0;0;2;1;3;3;8;17;26;33;35;66;109;127;145;160;259;1
069;Mujeres;0;0;0;0;0;1;0;1;1;0;3;8;10;11;19;22;39;55;69;82;124;343;0
070;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;1;0;2;0
070;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;2;3;0
071;Hombres;0;0;0;0;0;0;0;0;1;1;2;2;7;0;5;4;5;10;10;9;11;27;0
