Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
071;Mujeres;0;0;0;0;0;0;0;0;0;2;0;1;5;1;4;0;2;5;6;11;11;29;0
073;Hombres;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0
073;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
074;Hombres;23;8;0;3;1;1;2;2;2;3;2;1;4;5;9;9;10;11;29;24;32;67;3
074;Mujeres;16;7;3;1;1;1;1;1;3;2;2;0;1;3;6;7;7;12;16;16;28;98;0
075;Hombres;7;3;1;2;0;0;1;2;1;2;1;0;1;6;0;1;2;0;4;8;3;21;0
075;Mujeres;0;2;3;0;0;1;1;1;0;0;1;1;0;1;0;0;0;3;6;4;4;28;0
076;Hombres;2;2;1;0;0;0;0;0;0;1;1;1;4;3;3;6;13;16;30;38;33;113;0
076;Mujeres;2;1;0;0;0;0;1;1;0;0;0;1;3;1;5;7;4;10;15;31;41;117;0
077;Hombres;9;2;1;4;0;1;2;2;3;3;4;3;3;6;10;12;11;29;43;51;50;103;0
077;Mujeres;8;6;1;1;0;0;2;2;4;4;0;2;4;5;6;12;23;22;30;38;44;113;0
079;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;0;3;1;1;3;0
079;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;2;7;0
080;Hombres;0;0;1;0;0;0;0;1;0;2;2;3;7;16;27;38;53;35;31;26;22;22;0
080;Mujeres;0;0;0;0;0;0;1;2;0;1;0;1;4;2;9;17;23;21;13;29;23;20;0
081;Hombres;2;1;2;2;1;2;0;2;4;4;3;6;11;9;12;20;16;25;41;40;36;56;0
081;Mujeres;1;1;1;0;0;1;0;3;1;3;0;7;4;5;6;14;12;24;31;37;42;87;0
082;Hombres;0;0;0;0;0;0;0;0;1;3;1;0;2;3;3;4;6;16;15;13;15;28;0
082;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;2;5;3;3;8;12;18;11;12;66;0
083;Hombres;0;0;0;0;0;0;0;1;0;0;1;1;0;1;2;4;4;5;6;7;13;38;0
083;Mujeres;0;0;0;0;0;0;3;0;9;2;1;3;7;2;5;7;6;8;5;10;11;54;0
085;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;2;2;4;4;5;2;0
085;Mujeres;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;3;0;8;0
086;Hombres;0;0;0;0;0;0;0;3;5;3;2;7;10;18;18;31;32;39;61;79;77;157;2
086;Mujeres;0;0;1;0;0;1;0;2;2;3;2;3;8;5;11;11;13;32;36;50;44;105;0
092;Hombres;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
092;Mujeres;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Hombres;130;10;6;3;2;6;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Mujeres;125;6;5;1;2;11;5;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0
094;Hombres;25;7;1;2;1;0;4;9;7;13;7;20;16;20;19;14;27;31;47;45;35;145;0
094;Mujeres;20;6;2;0;2;4;2;2;3;5;5;8;6;5;12;21;11;15;23;23;38;199;0
095;Hombres;3;4;3;5;7;11;19;85;147;125;146;141;101;105;82;69;54;35;44;41;18;28;2
095;Mujeres;1;6;4;1;2;5;20;17;18;20;11;14;11;13;11;10;7;10;12;21;7;22;0
095;Hombres;0;1;0;0;0;3;1;13;27;29;28;31;25;32;16;20;18;9;13;5;4;2;0
095;Mujeres;0;1;0;0;1;1;3;5;4;6;3;6;3;7;5;2;1;5;4;5;1;1;0
095;Hombres;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;1;2;0;1;1;2;2;0;4;3;1;4;1;2;5;1;0;5;0
095;Mujeres;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;4;0;2;0
095;Hombres;0;2;1;1;4;3;4;4;11;4;7;6;10;7;7;4;4;1;3;1;2;0;0
095;Mujeres;1;2;2;0;0;0;4;2;1;4;1;1;0;0;0;2;0;0;1;0;0;2;0
095;Hombres;0;0;0;1;0;0;0;1;5;6;1;3;1;4;2;6;3;3;3;2;2;1;0
095;Mujeres;0;0;0;0;1;0;3;1;3;0;1;1;2;2;0;0;0;1;1;0;0;1;0
095;Hombres;0;0;0;0;0;0;1;0;2;1;2;1;1;1;1;2;0;0;0;0;0;0;0
095;Hombres;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;2;1;2;0
095;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0
095;Hombres;2;0;1;0;0;0;0;1;0;0;2;0;0;5;1;0;0;0;0;0;0;1;0
095;Mujeres;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0
095;Hombres;0;0;0;1;1;1;3;5;5;3;3;5;5;8;6;3;5;7;5;14;4;7;0
095;Mujeres;0;0;0;1;0;0;1;0;0;2;0;0;0;1;3;1;2;1;2;8;3;14;0
095;Hombres;0;0;0;0;0;0;1;8;11;7;7;9;3;7;18;6;5;2;8;2;2;0;0
095;Mujeres;0;0;0;0;0;0;2;3;3;1;0;1;2;1;1;1;1;0;0;1;0;0;0
095;Hombres;0;0;0;1;0;0;5;41;70;60;70;70;28;23;16;12;6;1;1;2;0;0;2
095;Mujeres;0;1;0;0;0;1;2;4;3;6;4;2;3;1;1;1;0;0;1;0;0;0;0
095;Hombres;1;0;1;0;1;2;4;11;15;12;23;16;22;15;13;11;10;8;6;10;3;9;0
095;Mujeres;0;1;2;0;0;3;5;1;4;1;2;1;1;1;0;1;1;0;2;2;1;2;0
095;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;0;1;0
U00-U85;Hombres;7;1;2;1;1;2;1;0;2;4;6;6;7;20;13;28;38;47;59;72;98;220;0
U00-U85;Mujeres;7;4;0;0;0;3;0;2;0;1;1;8;3;13;7;27;17;33;57;64;67;240;0
U00-U85;Hombres;7;1;2;1;1;2;1;0;2;4;6;5;7;17;13;24;35;45;55;66;96;209;0
U00-U85;Mujeres;7;4;0;0;0;3;0;2;0;1;1;7;3;12;6;25;16;32;51;63;62;231;0
U00-U85;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;4;3;2;4;6;2;11;0
U00-U85;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;6;1;5;9;0
