Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;13;21;3;3;0;3;0;0;5;3;0;5;6;2;2;3;8;8;8;0
003;Mujeres;24;23;3;0;1;1;1;2;0;1;4;0;2;2;5;4;5;8;6;1
004;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
004;Mujeres;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
005;Hombres;1;0;0;0;2;5;7;5;10;4;7;10;5;8;12;11;10;6;4;0
005;Mujeres;1;3;0;1;4;1;2;2;4;2;4;3;5;3;4;2;0;2;4;0
006;Hombres;0;2;1;0;0;0;1;1;3;0;2;1;1;2;0;2;0;0;0;0
006;Mujeres;1;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0
012;Hombres;5;4;0;0;1;2;1;1;0;2;4;2;5;8;4;6;9;15;26;0
012;Mujeres;8;2;0;0;0;1;2;0;0;1;2;2;1;1;3;3;5;9;23;0
013;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;0;2;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0
017;Mujeres;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
019;Hombres;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0
019;Mujeres;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
020;Hombres;0;2;0;0;10;45;76;46;55;35;47;37;27;19;8;8;3;0;0;1
020;Mujeres;2;0;1;0;5;8;16;19;15;20;15;16;6;6;3;0;1;1;0;0
023;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
025;Hombres;2;5;0;0;0;1;0;0;2;0;2;0;0;0;1;2;3;0;3;0
025;Mujeres;1;4;0;0;0;0;1;2;0;0;0;0;1;0;0;0;1;0;2;0
027;Hombres;0;0;0;0;0;0;1;0;0;3;1;4;2;8;3;7;9;4;5;0
027;Mujeres;0;0;0;0;0;0;1;0;0;1;2;1;2;0;0;2;0;2;3;0
028;Hombres;0;0;0;0;0;0;0;1;0;0;0;2;2;5;3;7;3;4;1;0
