Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;13;4;5;1;2;2;2;4;2;6;8;2;6;7;4;2;1;1;3;3;8;9;0
003;Mujeres;14;8;2;1;0;2;1;0;0;2;4;0;1;1;0;2;5;5;4;3;8;15;0
004;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;0;1;0
004;Mujeres;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;2;0
005 y 006;Hombres;0;2;0;0;0;1;0;6;8;5;10;2;8;8;8;10;8;11;12;7;5;6;1
005 y 006;Mujeres;0;0;0;0;0;1;0;2;6;3;4;1;3;4;5;3;2;4;2;4;3;2;0
010;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
010;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;1;0;0;0;0;0;2;1;1;2;2;1;2;2;4;5;7;13;11;9;6;15;0
012;Mujeres;0;0;0;1;0;0;0;0;0;1;1;2;1;3;6;4;10;8;10;5;11;26;0
013;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
017;Mujeres;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
019;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
019;Mujeres;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0
020;Hombres;0;1;0;0;0;0;2;8;29;49;58;38;42;33;42;31;23;7;5;8;0;0;0
020;Mujeres;0;1;0;0;0;1;0;3;9;13;16;12;8;10;2;7;7;4;2;0;0;0;0
022;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0
025;Hombres;2;3;0;4;1;3;1;1;0;1;1;0;3;1;4;4;0;5;4;5;3;2;0
025;Mujeres;1;4;1;0;0;0;1;0;0;1;1;2;0;0;1;2;4;3;1;4;4;2;0
027;Hombres;0;0;0;0;0;0;0;1;0;0;1;0;2;1;4;5;6;8;6;4;0;5;0
027;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;3;2;2;3;4;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;5;2;2;3;3;4;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0
029;Hombres;0;0;0;0;0;1;0;0;1;2;7;7;2;8;11;14;23;23;26;18;22;26;0
029;Mujeres;0;0;0;0;0;0;0;0;1;2;4;3;9;7;8;18;12;18;14;17;15;10;0
