Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;29;24;3;0;1;6;3;0;0;1;3;0;3;2;2;10;1;7;18;0
003;Mujeres;15;22;3;2;2;2;2;2;2;0;0;2;0;2;4;9;6;5;11;0
004;Hombres;2;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0
004;Mujeres;3;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0
005;Hombres;4;2;0;2;1;6;3;7;6;7;7;10;8;8;11;17;9;4;8;0
005;Mujeres;0;1;2;0;3;4;3;1;1;3;4;1;10;8;7;3;3;6;6;0
006;Hombres;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;0;1;0;0;0
006;Mujeres;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
008;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
010;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;5;0;1;0;0;0;3;0;0;2;5;1;0;3;5;9;9;8;18;0
012;Mujeres;7;1;1;1;0;0;2;0;0;0;2;1;3;5;4;7;11;11;26;0
013;Hombres;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
013;Mujeres;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
017;Hombres;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
017;Mujeres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
019;Hombres;1;0;0;0;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0
019;Mujeres;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
020;Hombres;1;1;1;1;8;44;64;43;44;37;49;39;30;13;8;9;3;0;4;1
020;Mujeres;0;0;0;2;3;10;24;18;19;19;12;15;11;8;5;3;2;0;0;0
022;Hombres;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;Hombres;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
025;Hombres;5;3;1;0;0;1;1;1;2;1;1;2;1;3;4;2;1;4;4;0
025;Mujeres;4;4;1;0;0;0;0;0;0;0;2;1;1;1;2;1;0;1;2;0
027;Hombres;0;0;0;0;0;0;0;1;0;2;0;3;6;6;7;6;13;6;5;0
027;Mujeres;0;0;0;0;0;0;0;0;0;1;2;1;3;0;4;0;1;0;3;0
028;Hombres;0;0;0;0;0;0;0;0;1;1;0;2;5;4;5;1;5;4;5;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;3;0;0;1;0
029;Hombres;0;0;0;0;0;0;0;0;4;5;13;7;14;23;25;27;34;15;17;0
029;Mujeres;0;0;0;0;0;5;0;3;4;4;13;5;12;16;10;11;13;8;19;0
030;Hombres;0;0;0;0;0;1;1;1;4;1;10;7;19;17;28;26;18;21;21;0
030;Mujeres;0;0;0;0;1;0;0;4;5;2;6;6;19;13;14;14;17;20;22;0
031;Hombres;0;1;0;0;1;1;1;0;0;1;3;3;4;8;10;11;8;7;9;0
031;Mujeres;0;0;1;0;0;0;0;1;1;1;4;7;7;8;11;12;12;15;14;0
032;Hombres;0;0;0;0;0;0;1;0;0;3;1;2;9;8;7;18;9;5;10;0
032;Mujeres;0;0;0;0;0;0;0;0;0;0;2;1;4;4;3;11;9;11;13;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;5;4;3;4;0
033;Mujeres;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;1;1;0
034;Hombres;0;0;0;0;0;0;1;0;0;1;1;11;13;23;24;25;22;21;15;0
034;Mujeres;0;0;0;0;0;0;1;1;2;0;3;3;5;10;12;13;11;10;11;0
035;Hombres;0;0;0;0;0;0;0;1;0;0;0;1;2;1;3;3;3;0;5;0
035;Mujeres;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;2;1;0;3;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
036;Mujeres;0;0;0;0;0;0;4;8;4;18;26;26;30;25;21;18;21;14;26;0
041;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;2;2;4;5;0
041;Mujeres;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;2;0
042;Hombres;0;0;1;3;0;0;0;0;1;1;1;3;3;3;5;3;1;3;0;1
042;Mujeres;0;0;0;0;1;1;1;1;1;1;1;1;1;4;4;3;2;4;2;0
043;Hombres;0;0;2;1;0;0;1;2;1;3;0;1;7;3;13;5;5;5;4;0
043;Mujeres;0;0;0;1;0;0;0;0;1;2;3;3;4;1;3;6;6;3;3;0
044;Hombres;0;0;0;0;0;0;0;0;0;0;1;4;4;1;2;5;7;3;3;0
044;Mujeres;0;0;0;0;0;0;0;1;0;0;1;3;2;3;3;7;5;2;3;0
045;Hombres;0;1;2;2;11;5;5;7;5;4;3;5;4;5;4;5;11;8;6;0
045;Mujeres;1;1;1;6;5;2;3;2;3;2;6;2;2;5;4;9;8;1;6;0
046;Hombres;1;0;1;0;6;9;3;1;3;9;12;17;18;22;29;23;36;28;21;0
046;Mujeres;0;0;1;1;3;1;2;5;8;9;13;14;16;17;32;27;28;24;28;0
047;Hombres;0;2;0;0;0;2;0;3;8;4;5;11;11;13;15;19;21;20;20;0
047;Mujeres;0;1;0;1;0;0;2;4;2;4;8;6;12;10;6;19;14;15;24;0
049;Hombres;3;6;1;0;1;0;2;1;4;4;2;3;2;1;4;1;5;4;10;1
049;Mujeres;1;1;1;0;0;2;4;2;3;3;0;1;2;1;3;1;2;9;8;0
050;Hombres;2;2;0;0;0;2;0;0;0;0;1;0;2;2;2;2;0;2;4;0
050;Mujeres;2;3;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;2;7;0
052;Hombres;0;0;0;1;0;3;0;0;3;7;17;26;50;72;82;71;91;80;81;0
052;Mujeres;0;0;0;0;2;2;1;1;6;6;16;21;33;51;87;91;96;106;152;0
053;Hombres;3;10;2;0;0;0;0;0;1;0;0;2;1;1;0;8;5;5;11;0
053;Mujeres;4;10;0;0;0;1;0;1;1;0;1;0;2;2;1;0;4;3;14;0
054;Hombres;2;1;0;3;1;0;1;2;0;3;5;6;4;1;5;15;12;17;22;0
054;Mujeres;2;2;0;0;1;0;0;1;1;4;4;8;8;4;11;7;10;12;40;0
056;Hombres;0;0;0;0;0;0;1;0;1;0;2;3;9;6;6;5;2;4;2;2
057;Hombres;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;4;7;10;0
