Código;Sexo;Menores de 1;1 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
057;Mujeres;0;0;0;0;0;0;0;0;1;0;2;3;1;3;1;2;1;5;32;0
059;Hombres;0;1;0;0;2;1;1;1;2;1;2;0;0;2;0;0;0;0;0;0
059;Mujeres;3;0;1;0;0;3;0;0;0;1;1;0;1;3;2;0;0;1;1;0
060;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;11;10;14;45;0
060;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;11;18;75;0
061;Hombres;7;7;8;5;6;9;8;9;3;3;6;7;12;15;13;14;27;23;29;0
061;Mujeres;5;9;3;4;3;7;2;3;5;4;4;7;6;2;10;17;11;17;35;0
065;Hombres;0;0;0;1;0;0;0;1;0;1;2;2;1;0;0;2;1;1;2;0
065;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;3;1;1;2;0
066;Hombres;0;0;0;0;0;1;0;1;3;9;3;11;16;22;30;34;44;61;110;0
066;Mujeres;0;0;0;0;0;0;0;0;4;5;5;9;12;11;19;30;38;47;149;1
067;Hombres;0;0;0;0;1;2;4;5;9;11;29;42;67;103;92;123;100;133;230;2
067;Mujeres;0;0;0;0;1;1;2;1;1;9;10;16;20;23;43;44;88;95;316;0
068;Hombres;0;0;0;0;6;5;3;5;5;13;30;38;33;55;56;67;92;105;255;1
068;Mujeres;0;0;0;0;3;6;5;5;7;6;11;19;15;30;34;51;61;96;274;0
069;Hombres;0;0;0;2;2;2;1;4;5;9;23;31;38;56;90;99;131;130;285;1
069;Mujeres;0;0;0;1;0;1;3;3;3;9;16;19;18;17;52;66;96;112;342;0
070;Hombres;0;0;0;0;0;0;0;0;0;0;2;2;2;6;10;6;5;6;12;0
070;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;4;1;4;16;0
071;Hombres;0;0;0;1;1;1;2;3;2;1;8;4;8;3;8;9;16;7;22;0
071;Mujeres;0;0;1;0;0;0;0;0;2;1;0;3;2;2;7;9;11;14;28;0
073;Hombres;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
074;Hombres;23;18;0;0;1;1;4;2;2;2;3;3;10;9;7;15;31;24;92;0
074;Mujeres;29;11;4;0;0;1;1;0;3;1;0;6;7;7;1;12;15;17;82;0
075;Hombres;8;2;0;0;0;0;0;0;0;1;1;2;1;1;2;3;4;7;33;0
075;Mujeres;3;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;4;6;30;0
076;Hombres;2;2;1;4;0;2;1;1;0;1;1;5;12;12;20;33;44;46;119;0
076;Mujeres;3;3;2;0;0;0;0;0;1;0;2;4;5;14;10;15;28;30;135;0
077;Hombres;21;8;3;3;4;1;5;4;3;5;7;12;9;19;12;28;33;37;74;2
077;Mujeres;10;5;1;2;2;1;1;0;1;5;6;8;9;13;15;24;27;33;101;0
079;Hombres;0;0;0;0;0;0;0;0;0;0;2;1;2;2;4;4;3;2;6;0
079;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;0
080;Hombres;0;0;0;1;0;3;2;2;5;7;13;19;27;29;32;25;22;13;13;0
080;Mujeres;0;0;0;0;2;0;1;2;2;2;4;8;11;20;23;24;21;15;20;0
081;Hombres;2;4;0;3;3;0;0;5;5;4;12;10;12;18;17;32;34;34;61;0
081;Mujeres;5;2;1;1;2;3;1;0;0;4;6;10;9;15;11;25;21;34;82;0
082;Hombres;0;0;0;1;0;0;0;0;0;0;1;4;2;1;10;7;11;7;17;0
082;Mujeres;0;0;0;0;0;0;1;0;0;0;2;3;1;2;5;3;4;5;43;0
083;Hombres;0;0;0;1;1;1;0;0;1;1;1;0;2;2;3;3;3;7;6;0
083;Mujeres;0;0;0;0;0;2;5;1;2;3;3;5;3;8;6;4;3;6;23;0
085;Hombres;0;1;1;0;0;0;1;0;0;0;0;0;5;0;1;1;4;2;5;0
085;Mujeres;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;1;4;0
086;Hombres;1;1;0;1;1;3;3;5;9;7;20;31;26;44;57;65;81;73;134;1
086;Mujeres;2;2;0;0;0;0;2;4;3;11;7;10;20;15;23;38;43;40;115;0
092;Hombres;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
092;Mujeres;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
093;Hombres;156;9;9;6;4;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0
093;Mujeres;139;15;5;3;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0
094;Hombres;44;12;4;5;8;8;17;19;9;17;19;15;16;27;30;42;41;51;103;9
094;Mujeres;30;10;8;3;4;3;6;9;9;10;8;7;16;10;17;19;25;36;120;9
095;Hombres;7;22;11;27;111;164;166;133;77;89;83;75;66;47;37;34;33;26;28;0
095;Mujeres;4;16;14;11;12;22;17;17;15;14;14;12;5;9;7;7;9;7;10;0
095;Hombres;0;5;6;6;26;34;62;40;23;26;30;28;22;18;18;15;8;11;6;0
095;Mujeres;0;3;5;5;3;8;7;6;7;3;7;4;3;4;4;3;4;1;1;0
095;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
095;Mujeres;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;1;1;1;4;5;5;5;5;2;5;1;4;3;5;0;6;0
095;Mujeres;1;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;3;5;0
095;Hombres;1;9;2;5;14;8;5;6;2;2;4;3;6;4;2;4;2;0;2;0
095;Mujeres;0;7;4;3;1;2;0;0;0;1;0;1;0;0;0;1;1;0;0;0
095;Hombres;4;1;1;0;1;0;0;2;0;0;1;4;0;0;1;1;3;1;0;0
095;Mujeres;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;0;3;6;3;1;2;4;1;0;0;0;0;0;0;1;0
095;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0
095;Mujeres;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;0;0;0;1;2;0;0;1;1;0;0;0;0;1;1;0;0
095;Mujeres;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
095;Hombres;0;6;0;6;5;2;3;6;1;6;0;2;3;3;2;1;1;2;0;0
095;Mujeres;0;2;2;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0
095;Hombres;0;0;0;3;7;15;7;10;7;8;11;7;11;9;3;2;5;1;3;0
095;Mujeres;0;0;0;2;4;2;1;1;1;1;0;1;0;2;0;0;0;0;0;0
095;Hombres;0;1;0;5;48;86;60;51;29;31;22;16;12;7;5;3;2;3;1;0
095;Mujeres;1;0;2;1;3;6;4;7;5;5;4;3;1;2;1;0;1;0;1;0
095;Hombres;2;0;2;1;9;14;18;7;9;9;5;10;7;4;2;4;5;6;9;0
095;Mujeres;1;1;0;0;1;3;3;2;0;2;1;1;1;1;2;1;2;3;3;0
