Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;13;6;4;5;1;3;3;0;2;4;3;3;3;2;2;4;6;1;6;3;9;15;1
003;Mujeres;12;9;6;3;0;3;1;1;2;3;0;0;2;0;1;0;3;1;3;11;7;5;0
004;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
004;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
005 y 006;Hombres;0;1;0;0;0;0;1;1;3;6;9;3;4;2;8;7;8;9;10;6;4;7;2
005 y 006;Mujeres;0;0;0;0;1;0;0;4;0;5;2;7;5;5;7;3;3;2;5;1;0;5;1
012;Hombres;6;0;0;0;0;0;0;1;0;0;3;3;0;6;1;2;1;4;7;4;2;13;0
012;Mujeres;1;0;0;0;0;0;0;1;0;1;0;2;2;3;2;1;3;3;6;5;4;11;0
013;Hombres;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
013;Mujeres;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
017;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
017;Mujeres;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0
019;Hombres;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;0;1;1;0;0
019;Mujeres;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0
020;Hombres;1;1;0;0;0;0;2;7;43;65;52;49;29;27;31;23;14;15;6;2;0;0;5
020;Mujeres;0;0;0;0;0;1;2;2;8;17;20;17;15;12;11;8;5;6;4;1;0;0;1
023;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
025;Hombres;2;2;1;0;1;1;0;1;0;0;0;1;2;1;1;0;2;2;4;1;4;2;0
025;Mujeres;3;3;1;1;0;1;0;1;0;0;0;0;1;1;2;1;4;0;1;2;2;1;0
027;Hombres;0;0;0;0;0;0;0;0;1;0;1;2;2;1;4;3;7;7;7;12;10;7;0
027;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;2;2;1;3;3;4;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;5;5;1;3;4;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;2;0;0;1;1;2;0;0
029;Hombres;0;0;0;0;0;0;0;0;0;0;0;3;4;10;10;19;20;22;24;33;20;22;0
029;Mujeres;0;0;0;0;0;0;0;0;1;1;1;5;7;8;9;7;10;12;14;15;15;20;0
030;Hombres;0;0;0;0;0;0;0;1;0;1;2;3;4;11;13;21;19;19;40;25;21;23;1
030;Mujeres;0;0;0;0;0;0;0;0;0;1;0;3;2;9;14;11;17;17;29;24;18;23;0
031;Hombres;1;0;0;0;0;0;0;0;1;0;0;0;2;3;3;2;13;12;15;8;6;17;0
031;Mujeres;0;0;0;0;0;0;0;0;0;0;1;2;1;3;4;7;9;13;20;9;4;13;1
032;Hombres;0;0;0;0;0;0;0;0;0;0;0;2;2;5;2;9;10;8;8;8;6;9;0
032;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;7;5;7;9;8;12;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;5;9;4;8;0;2;0
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0
034;Hombres;0;0;0;0;0;0;0;1;1;0;1;2;0;4;4;13;15;25;27;38;26;22;1
034;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;4;2;7;10;2;11;21;16;22;21;0
035;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;3;3;2;1;4;0
035;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;9;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
