Código;Sexo;Menores de 1;1;2;3;4;Menores de 5;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
046;Hombres;1;0;0;0;0;1;4;2;3;6;6;5;5;8;12;19;19;22;29;52;25;35;38;0
046;Mujeres;5;0;0;0;2;3;3;3;1;2;2;6;4;6;14;16;21;22;34;21;27;22;38;2
047;Hombres;0;0;0;0;0;0;2;1;1;0;2;3;2;3;2;7;5;4;9;6;19;11;18;0
047;Mujeres;2;0;1;0;1;0;2;1;1;0;2;1;1;0;1;6;9;8;11;8;13;9;19;0
049;Hombres;1;1;0;0;0;0;0;1;1;6;2;1;1;1;5;3;2;1;0;3;7;8;9;0
049;Mujeres;4;1;0;0;2;1;1;2;1;1;5;1;3;2;7;4;3;4;7;3;0;5;10;0
050;Hombres;3;1;2;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;1;2;1;2;0
050;Mujeres;1;1;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;1;0;0;0;0;2;0
052;Hombres;0;0;0;0;0;0;0;0;0;1;0;4;4;13;16;43;54;67;86;70;84;79;93;0
052;Mujeres;1;0;0;0;0;1;0;0;0;0;1;2;2;6;6;35;44;67;83;91;105;102;154;0
053;Hombres;18;7;8;2;1;0;2;0;0;0;0;0;0;0;0;1;1;3;7;4;6;9;14;1
053;Mujeres;18;3;8;3;2;2;0;1;0;0;0;1;0;1;1;0;0;2;3;1;4;4;32;0
054;Hombres;7;5;2;0;0;0;0;2;0;1;0;1;1;3;2;3;0;3;4;6;6;8;21;0
054;Mujeres;4;1;2;1;0;0;0;0;0;0;3;1;3;2;0;2;4;4;9;5;8;9;17;0
056;Hombres;0;0;0;0;0;0;0;0;0;0;2;0;1;1;3;4;3;7;6;4;1;7;1;0
056;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
057;Hombres;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;1;0;2;4;8;7;0
057;Mujeres;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;5;22;0
059;Hombres;2;1;1;0;0;0;0;0;0;0;3;1;1;2;0;1;0;2;2;0;1;0;0;0
059;Mujeres;4;3;1;0;0;0;1;0;0;2;0;0;0;1;0;3;1;0;3;1;0;0;0;0
060;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;17;13;36;1
060;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;13;26;94;0
061;Hombres;14;6;3;1;3;1;8;3;15;7;4;8;2;5;6;10;8;7;11;20;25;14;22;0
061;Mujeres;6;4;1;1;0;0;2;5;1;5;6;5;0;4;1;2;7;6;9;12;14;10;39;0
062;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
063;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
065;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;1;0;0;0;0
065;Mujeres;0;0;0;0;0;0;0;0;0;0;3;1;0;1;1;1;2;1;1;0;2;0;2;0
066;Hombres;0;0;0;0;0;0;0;0;0;1;0;1;1;5;8;10;23;28;42;57;57;56;127;0
066;Mujeres;0;0;0;0;0;0;0;0;0;2;0;0;5;1;6;11;7;11;27;46;51;53;173;0
067;Hombres;0;0;0;0;0;0;0;0;0;2;2;8;9;15;20;43;57;87;98;115;94;110;223;2
067;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;4;6;10;14;10;28;42;62;71;85;270;3
068;Hombres;6;5;1;0;0;0;1;3;5;9;5;10;11;16;19;35;38;48;47;58;67;76;176;1
068;Mujeres;1;1;0;0;0;0;0;1;4;3;4;6;2;8;14;20;31;22;36;39;56;55;226;0
069;Hombres;0;0;0;0;0;0;0;1;1;1;3;6;3;6;22;27;40;48;66;84;130;144;245;0
069;Mujeres;0;0;0;0;0;0;0;0;2;3;3;0;0;10;10;10;15;34;29;57;88;105;332;1
070;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;7;3;5;5;7;0
070;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;5;6;13;0
071;Hombres;2;2;0;0;0;0;0;0;0;2;1;3;1;1;1;7;4;2;7;9;6;5;11;0
071;Mujeres;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;4;2;4;3;5;17;0
073;Hombres;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
073;Mujeres;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
074;Hombres;56;36;14;4;2;0;4;2;3;3;4;3;1;4;8;5;11;9;12;14;31;40;78;1
074;Mujeres;50;36;6;5;2;1;3;0;4;1;1;3;3;1;7;0;10;8;9;10;15;20;98;0
075;Hombres;3;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;3;2;6;5;8;27;0
075;Mujeres;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;2;3;1;3;1;2;11;30;0
076;Hombres;3;1;0;2;0;0;0;1;0;0;1;0;1;1;5;0;9;10;11;26;37;41;116;2
076;Mujeres;2;1;1;0;0;0;0;0;0;1;2;0;1;0;1;5;7;11;15;20;33;40;112;1
077;Hombres;13;7;3;1;1;1;1;1;2;2;3;5;7;5;7;4;9;12;14;16;25;22;52;0
077;Mujeres;19;11;6;1;1;0;1;1;1;2;1;4;2;7;3;7;8;11;6;11;19;32;77;0
079;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;5;1;1;2;0
079;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;1;2;0
080;Hombres;0;0;0;0;0;0;1;1;3;0;1;3;1;10;9;34;40;34;29;23;19;12;13;0
080;Mujeres;0;0;0;0;0;0;1;0;1;1;0;2;2;5;6;5;8;19;18;25;22;12;15;0
081;Hombres;21;9;8;3;0;1;0;1;3;1;1;2;2;6;11;12;9;15;14;17;35;37;54;1
081;Mujeres;12;5;5;2;0;0;1;3;3;1;3;1;3;4;1;2;4;9;13;13;14;27;61;0
082;Hombres;2;2;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;3;1;4;2;3;16;0
082;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;2;1;4;10;23;0
083;Hombres;1;0;0;0;0;1;0;1;0;0;0;1;0;2;1;1;0;0;3;2;3;2;5;0
083;Mujeres;0;0;0;0;0;0;0;1;3;2;4;1;6;3;3;4;0;1;3;2;4;5;10;0
085;Hombres;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;0;3;4;6;5;2;5;0
085;Mujeres;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;0;0;7;0
086;Hombres;4;1;0;2;0;0;0;1;1;4;3;2;4;11;13;15;27;29;28;35;39;69;96;1
086;Mujeres;2;1;1;0;0;0;0;0;2;1;0;3;5;7;4;10;5;10;23;24;32;33;69;0
