Código;Sexo;Menores de 1;1;2;3;4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 y más;No especificada
003;Hombres;9;11;1;0;0;0;2;1;2;1;3;1;3;2;2;1;1;3;5;6;7;8;0
003;Mujeres;10;4;1;0;3;2;0;0;1;2;2;0;0;0;5;1;5;2;7;5;3;18;0
004;Hombres;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
004;Mujeres;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
005 y 006;Hombres;2;0;0;1;0;2;1;2;6;9;4;2;4;4;6;14;2;8;4;6;8;4;0
005 y 006;Mujeres;0;4;0;0;1;0;0;3;1;6;2;3;1;6;5;5;7;1;3;2;3;6;0
011;Hombres;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
012;Hombres;2;0;0;0;0;0;0;2;0;0;0;2;2;5;5;2;7;20;12;18;6;25;0
012;Mujeres;2;0;0;0;0;0;0;0;1;1;4;0;2;2;3;5;4;7;10;8;10;25;0
013;Hombres;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
013;Mujeres;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
017;Hombres;1;0;0;0;1;2;1;3;2;2;0;0;1;1;1;0;5;2;1;1;2;3;0
017;Mujeres;0;0;0;0;0;0;1;4;0;3;1;2;0;2;0;3;1;2;2;3;1;3;0
019;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0
019;Mujeres;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0
020;Hombres;0;0;0;1;0;1;1;8;21;37;23;22;26;21;15;13;9;7;7;2;0;0;0
020;Mujeres;0;1;0;0;0;0;0;3;7;13;2;12;10;5;2;6;4;3;1;0;0;0;0
021;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
023;Hombres;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
025;Hombres;1;2;0;1;0;1;0;0;0;0;0;2;2;4;2;3;4;2;0;4;3;4;0
025;Mujeres;0;2;0;2;0;3;0;0;0;1;0;1;1;0;2;1;2;4;1;4;4;4;0
027;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;5;7;11;14;7;5;7;0
027;Mujeres;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;2;2;3;4;2;5;3;0
028;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;4;3;4;2;0
028;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;2;0
029;Hombres;0;0;0;0;0;0;0;0;0;0;1;2;8;12;13;19;24;26;35;27;24;27;0
029;Mujeres;0;0;0;0;0;0;0;0;1;0;5;8;6;5;8;11;14;17;12;11;20;15;0
030;Hombres;0;0;0;0;0;0;0;0;2;1;4;1;3;8;13;16;26;22;32;39;21;24;0
030;Mujeres;0;0;0;0;0;0;0;0;0;1;2;2;5;15;12;21;20;23;20;21;18;27;0
031;Hombres;0;0;0;0;0;0;0;0;0;0;1;2;1;2;9;7;16;20;19;23;14;10;0
031;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5;9;9;16;14;12;14;21;0
032;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;1;3;5;8;12;21;16;13;7;10;0
032;Mujeres;0;0;0;0;0;0;0;0;0;0;0;3;1;5;3;4;6;11;10;14;8;18;0
033;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;6;1;2;5;0
033;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
034;Hombres;0;0;0;0;0;0;0;0;1;0;1;0;2;2;7;7;25;22;18;31;18;16;0
034;Mujeres;0;0;0;0;0;0;0;0;1;1;1;0;2;3;11;9;14;12;16;12;17;18;0
035;Hombres;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;4;2;4;3;1;4;0
035;Mujeres;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;1;1;3;0
036;Hombres;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;2;0;0;0
036;Mujeres;0;0;0;0;0;0;0;0;0;3;1;13;16;12;36;30;41;39;34;23;29;27;0
041;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;6;1;4;0
041;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;1;1;3;0;2;4;0
042;Hombres;0;0;0;0;0;1;0;1;1;3;1;2;4;4;3;2;4;5;3;3;3;2;0
042;Mujeres;0;0;0;0;0;0;1;1;0;0;1;2;1;2;4;4;7;5;6;6;3;5;0
043;Hombres;0;0;0;0;0;0;0;0;1;1;2;1;2;2;4;3;7;9;10;9;4;6;0
043;Mujeres;0;0;0;0;0;0;0;0;0;0;0;3;2;1;3;0;6;6;9;4;3;4;0
044;Hombres;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;8;7;4;7;5;3;0
044;Mujeres;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;6;6;7;7;5;6;0
