Region Code: CSA
"Region Name: Central and South America"
Country Code: GTM
"Country Name: Guatemala"
Export date: 6/19/2026 1:46:25 AM
Source location: "WHO Mortality Database portal"
Metadata information: 
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0590,Noncommunicable diseases,2015,Male,Age15_19,[15-19],309.00000000,19.40954774,,33.27314018,
CG0590,Noncommunicable diseases,2015,Male,Age20_24,[20-24],389.00000000,17.39713775,,47.15197238,
CG0590,Noncommunicable diseases,2015,Male,Age25_29,[25-29],457.00000000,23.38792221,,66.76298847,
CG0590,Noncommunicable diseases,2015,Male,Age30_34,[30-34],671.00000000,34.14758270,,115.09631383,
CG0590,Noncommunicable diseases,2015,Male,Age35_39,[35-39],933.00000000,44.36519258,,202.92313715,
CG0590,Noncommunicable diseases,2015,Male,Age40_44,[40-44],1063.00000000,54.17940877,,304.56445564,
CG0590,Noncommunicable diseases,2015,Male,Age45_49,[45-49],1102.00000000,58.46153846,,408.69004087,
CG0590,Noncommunicable diseases,2015,Male,Age50_54,[50-54],1335.00000000,61.89151599,,616.02779739,
CG0590,Noncommunicable diseases,2015,Male,Age55_59,[55-59],1588.00000000,68.47779215,,863.36254703,
CG0590,Noncommunicable diseases,2015,Male,Age60_64,[60-64],1877.00000000,73.40633555,,1187.59886110,
CG0590,Noncommunicable diseases,2015,Male,Age65_69,[65-69],2108.00000000,73.34725122,,1927.15570830,
CG0590,Noncommunicable diseases,2015,Male,Age70_74,[70-74],2073.00000000,72.33077460,,2420.71091600,
CG0590,Noncommunicable diseases,2015,Male,Age75_79,[75-79],2283.00000000,70.22454629,,3501.80228550,
CG0590,Noncommunicable diseases,2015,Male,Age80_84,[80-84],2293.00000000,66.34837963,,5366.37880600,
CG0590,Noncommunicable diseases,2015,Male,Age85_over,[85+],3097.00000000,60.15928516,,11716.41508700,
CG0590,Noncommunicable diseases,2015,Male,Age_unknown,[Unknown],104.00000000,34.09836066,,,
CG0590,Noncommunicable diseases,2015,Female,Age_all,[All],22040.00000000,62.32502899,391.94109014,266.91129499,
CG0590,Noncommunicable diseases,2015,Female,Age00,[0],936.00000000,26.15986585,,460.33541533,
CG0590,Noncommunicable diseases,2015,Female,Age01_04,[1-4],341.00000000,28.46410684,,44.18638101,
CG0590,Noncommunicable diseases,2015,Female,Age05_09,[5-9],121.00000000,37.00305810,,12.78787245,
CG0590,Noncommunicable diseases,2015,Female,Age10_14,[10-14],149.00000000,40.71038251,,15.52178728,
